文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk1,abstract,"Three batches of Zircaloy-2 tubing were beta-quenched prior to the final cold-rolling, cold rolled 80 percent, and annealed at 475 to 575°C",Zircaloy-2,tubing,"beta-quenching prior to final cold-rolling, cold rolling 80%, annealing",,,,,,,,,,,,,,,,,,,575.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk1,abstract,A fourth batch was β-quenched in the final size,Zircaloy-2,tubing,beta-quenching in final size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55–95,mg/dm²,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk1,abstract,Corrosion testing was carried out at 400°C,Zircaloy-2,,,corrosion,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk1,abstract,Corrosion testing was carried out in high-temperature (475 to 500°C) high-pressure steam,Zircaloy-2,,,corrosion,,,,,,,,,,,,,,,,,,475.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk1,abstract,Corrosion testing was carried out in high-temperature (475 to 500°C) high-pressure steam,Zircaloy-2,,,corrosion,,,,,,,,,,,,,,,,,,500.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk1,abstract,"The mechanical tests comprised tension, burst, and creep testing under internal pressure",Zircaloy-2,,,tension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk1,abstract,specimens from standard tubing take values in the range 360 to 4280 mg/dm²,Zircaloy-2,standard tubing,,corrosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360–4280,mg/dm²,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk1,Material and Experimental Procedure,one single forged bar of Zircaloy-2 was chosen,Zircaloy-2,forged bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk1,Material and Experimental Procedure,The bar material was hot-extruded into tubes and cold-rolled in several steps to the hollow dimension for final rolling,Zircaloy-2,tubes,"hot-extrusion, cold-rolling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk2,text,Tubes from Batch E were tension tested at room temperature,Zircaloy,tube,final,tension,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk2,text,Closed-end burst tests were performed at room temperature and at 300°C,Zircaloy,tube,final,burst,,,,,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk2,text,"In conventional production of Zircaloy cladding tubes all intermediate anneals are carried out in the α-range, that is, at temperatures below about 750°C",Zircaloy,tube,intermediate anneal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475,°C
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk2,text,Annealing of cold-worked tubing in the α-range causes the material to recrystallize into equiaxed grains,Zircaloy,cold-worked tubing,annealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,equiaxed,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk2,text,the most striking structural feature resulting from β quenching is the formation of a Widmanstätten structure consisting of plates of α phase,Zircaloy,β-quenched,β quenching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Widmanstätten structure,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk2,text,the plate size is finer by a factor of about 2 for Batch E,Zircaloy,Batch E,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk2,text,the particles in Batch D are fairly coarse,Zircaloy,Batch D,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coarse,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk2,text,only a few small particles can be detected by optical microscopy in Batch A,Zircaloy,Batch A,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk2,text,"Batch B has, as compared with Batch A, a higher volume fraction of small particles precipitated during aging",Zircaloy,Batch B,aging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,higher,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk2,text,"Batch C is characterized by ""medium-sized"" particles along the grain boundaries",Zircaloy,Batch C,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium-sized,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk3,Table 3,"A, 510, 0.6, 0.16, 1.76, 1.60",,Batch A,Final Annealing Temperature 510°C,,,,,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,,,,,,,,,,0.6,wt%
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk3,Table 3,"A, 575, 1.3, 0.18, 1.42, 1.24",,Batch A,Final Annealing Temperature 575°C,,,,,,,,,,,,,,,,,,,575.0,,,,,,,,,,,,,,,,,,,,,,,,1.3,wt%
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk3,Table 3,"D, 510, 1.1, 0.28, 2.38, 2.10",,Batch D,Final Annealing Temperature 510°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,μm
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk4,Table 4,β-quenching improves the strength but impairs the ductility,Zircaloy,β-quenched,β-quenching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk4,Discussion,"beneficial effect of β quenching in 400°C steam testing, provided that the cooling rate exceeds 50 deg C/min through the (α+β)-phase region",Zircaloy,β-quenched,β-quenching,steam testing,,,,,,,,,,,,,,,,,,400.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk4,Discussion,The weight gain in corrosion testing at 400°C slightly increases as a result of a second β-quenching in intermediate or final size,Zircaloy-2,β-quenched,second β-quenching,corrosion testing,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk4,Discussion,β-quenching at a late stage has a dramatic beneficial effect on the 475 to 500°C steam corrosion properties,Zircaloy-2,β-quenched,β-quenching at late stage,steam corrosion testing,,,,,,,,,,,,,,,,,,475.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk4,Discussion,β-quenching at a late stage has a dramatic beneficial effect on the 475 to 500°C steam corrosion properties,Zircaloy-2,β-quenched,β-quenching at late stage,steam corrosion testing,,,,,,,,,,,,,,,,,,500.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk4,Table 4,"0.2% Offset Yield Strength, MPa: 391",Zircaloy,β-quenched,,Tensile testing,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,391.0,MPa,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk4,Table 4,"0.2% Offset Yield Strength, MPa: 377",Zircaloy,α-annealed,α-annealing,Tensile testing,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,377.0,MPa,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk5,text,"After β quenching in final size, the tube outside diameter was belt-ground.",,tube,belt grinding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk5,text,Quenching of solid bar material having a diameter of about 15 cm is a standard procedure for conventional production,,solid bar,quenching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk5,text,"We identified two types of phases, namely, Zr₂(Fe,Ni) and Zr₂(Fe,Cr)",standard material (Batch D),,,microprobe analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk5,text,the improvement in corrosion resistance should be also valid for PWR conditions,,,,corrosion,,,,,,,,,,,,,,,,,,,PWR,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk5,text,a hexagonal phase with lattice parameters a = 7.9 Å and c = 3.3 Å can be developed by quenching from the temperature range 840 to 870°C,Zircaloy-4,,quenching,,,,,,,,,,,,,,,,,,,840.0,,,,,,,,,,,,,,7.9,m,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk5,text,a hexagonal phase with lattice parameters a = 7.9 Å and c = 3.3 Å can be developed by quenching from the temperature range 840 to 870°C,Zircaloy-4,,quenching,,,,,,,,,,,,,,,,,,,870.0,,,,,,,,,,,,,,3.3,m,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk5,text,This phase is metastable and transforms into a zirconiumiron compound by aging at 600 to 650°C,Zircaloy-4,,aging,,,,,,,,,,,,,,,,,,,600.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk5,text,This phase is metastable and transforms into a zirconiumiron compound by aging at 600 to 650°C,Zircaloy-4,,aging,,,,,,,,,,,,,,,,,,,650.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk5,text,steam corrosion resistance at 400 to 500°C,"Zircaloy-2, Zircaloy-4",,,steam corrosion,,,,,,,,,,,,,,,,,,400.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk5,text,steam corrosion resistance at 400 to 500°C,"Zircaloy-2, Zircaloy-4",,,steam corrosion,,,,,,,,,,,,,,,,,,500.0,steam,,,,,,,,,,,,,,,,,,,,,,,,
STP754-EB-Zirconium in the Nuclear Industry_5th Volume_009_chunk5,text,"annealed in the α + Zr_xFe_sCr₂ region, that is, at temperatures below 810°C",Zircaloy-4,cold-worked material or material water-quenched from β-phase,annealing,,,,,,,,,,,,,,,,,,,810.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk1,1,Hesketh et al. [5] and Harbottle [6] studied irradiation growth in annealed and cold-worked Zircaloy-2 in the temperature range of 87 to 553 K up to a fluence of 10^25 n/m^2,Zircaloy-2,annealed,,irradiation growth,,,,,,,,,,,,,,,,,,87,,,,,1e+25,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk1,1,Hesketh et al. [5] and Harbottle [6] studied irradiation growth in annealed and cold-worked Zircaloy-2 in the temperature range of 87 to 553 K up to a fluence of 10^25 n/m^2,Zircaloy-2,cold-worked,,irradiation growth,,,,,,,,,,,,,,,,,,87,,,,,1e+25,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk1,1,Hesketh et al. [5] and Harbottle [6] studied irradiation growth in annealed and cold-worked Zircaloy-2 in the temperature range of 87 to 553 K up to a fluence of 10^25 n/m^2,Zircaloy-2,annealed,,irradiation growth,,,,,,,,,,,,,,,,,,553,,,,,1e+25,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk1,1,Hesketh et al. [5] and Harbottle [6] studied irradiation growth in annealed and cold-worked Zircaloy-2 in the temperature range of 87 to 553 K up to a fluence of 10^25 n/m^2,Zircaloy-2,cold-worked,,irradiation growth,,,,,,,,,,,,,,,,,,553,,,,,1e+25,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk1,1,"For annealed material they found n to be 0.4, whereas for cold-worked material n was 0.7",Zircaloy-2,annealed,,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk1,1,"For annealed material they found n to be 0.4, whereas for cold-worked material n was 0.7",Zircaloy-2,cold-worked,,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk1,1,Fidleris [7] showed that irradiation-induced stress relaxation can be the overriding influence on dimensional changes in annealed Zircaloy-2 up to a fluence of approximately 5×10^24 n/m^2,Zircaloy-2,annealed,,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,5e+24,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk1,1,"the pressure and calandria tubes were to be manufactured from 25% cold-worked and annealed Zircaloy-2, respectively",Zircaloy-2,25% cold-worked,manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk1,1,the potential buildup of unacceptable stresses in the Wah Chang-annealed Zircaloy-2 calandria tubes at 353 K caused by high differential axial growth rates between neighboring tubes,Zircaloy-2,annealed,Wah Chang annealing,irradiation growth,,,,,,,,,,,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk2,text,"a second helium/neon gas-flled growth rig operating at 573, 633, and $6 7 3\mathrm { ~ K ~ }$ became available",,,irradiation,growth test,,,,,,,,,,,,,,,,,,400.0,,,,,,,helium/neon gas,,,,,,,,,,,673.0,K,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk2,text,"Each specimen was $1 3 7 ~ \mathrm { m m }$ long (measured gage length: $1 2 7 \ \mathrm { m m }$ , $1 2 \ \mathrm { m m }$ wide, and either 2.4, 3.7, or $4 \ \mathrm { m m }$ thick depending on the starting material thickness",,,machining,specimen dimensions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk3,table,Single-crystal iodide; Oxygen: 1-8; Hydrogen: 80,Single-crystal iodide,,,,,,,,,,,,,,"{'value': None, 'value_min': 1, 'value_max': 8, 'unit': 'ppm'}",,,,"{'value': 80, 'value_min': None, 'value_max': None, 'unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,text,"""breakaway"" growth in annealed Zircaloy-2 above a fluence of approximately $4 \times 1 0 ^ { 2 5 } \mathrm { n } / \mathrm { m } ^ { 2 }$ at $3 5 3 \ \mathrm { K }$",Zircaloy-2,annealed,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,353,,,,,4e+25,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,text,growth acceleration continued in annealed Zircaloy-2 at $5 5 3 \mathrm { ~ K ~ }$ up to a fluence of $1 . 1 \times 1 0 ^ { 2 6 } \ \mathrm { n } / \mathrm { m } ^ { 2 }$,Zircaloy-2,annealed,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,553,,,,,1.1e+26,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,text,"At $3 5 3 \ \mathrm { K } ,$ the accelerated growth rate was not sustained and resaturated up to a fluence of $1 . 7 \times 1 0 ^ { 2 6 } \mathrm { n } / \mathrm { m } ^ { 2 }$",Zircaloy-2,annealed,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,353,,,,,1.7e+26,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,text,the high near-linear growth rates seen in cold-worked Zircaloy-2 at $5 5 3 \mathrm { K }$ increased further above approximately $5 \times 1 0 ^ { 2 5 } \mathrm { n / m } ^ { 2 }$,Zircaloy-2,cold-worked,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,553,,,,,5e+25,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,Fig. 2,FIG. 2 Irradiation growth in annealed and $2 5 \%$ cold-worked Zircaloy-2 at 353 and $5 5 3 \mathsf { K }$,Zircaloy-2,annealed,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,Fig. 2,FIG. 2 Irradiation growth in annealed and $2 5 \%$ cold-worked Zircaloy-2 at 353 and $5 5 3 \mathsf { K }$,Zircaloy-2,annealed,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,553,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,Fig. 2,FIG. 2 Irradiation growth in annealed and $2 5 \%$ cold-worked Zircaloy-2 at 353 and $5 5 3 \mathsf { K }$,Zircaloy-2,cold-worked,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,Fig. 2,FIG. 2 Irradiation growth in annealed and $2 5 \%$ cold-worked Zircaloy-2 at 353 and $5 5 3 \mathsf { K }$,Zircaloy-2,cold-worked,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,553,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,text,"annealed and cold-worked Zircaloy-2 material irradiated at the higher temperatures of 573, 633, and $6 7 3 \ \mathrm { K }$",Zircaloy-2,annealed,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,573,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,text,"annealed and cold-worked Zircaloy-2 material irradiated at the higher temperatures of 573, 633, and $6 7 3 \ \mathrm { K }$",Zircaloy-2,annealed,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,633,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,text,"annealed and cold-worked Zircaloy-2 material irradiated at the higher temperatures of 573, 633, and $6 7 3 \ \mathrm { K }$",Zircaloy-2,annealed,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,673,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,text,"annealed and cold-worked Zircaloy-2 material irradiated at the higher temperatures of 573, 633, and $6 7 3 \ \mathrm { K }$",Zircaloy-2,cold-worked,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,573,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,text,"annealed and cold-worked Zircaloy-2 material irradiated at the higher temperatures of 573, 633, and $6 7 3 \ \mathrm { K }$",Zircaloy-2,cold-worked,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,633,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk4,text,"annealed and cold-worked Zircaloy-2 material irradiated at the higher temperatures of 573, 633, and $6 7 3 \ \mathrm { K }$",Zircaloy-2,cold-worked,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,673,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk5,text,"Irradiation growth studies [26,28,29,30,32] were also performed at 353 and 553 K on annealed and deformed (18% swaged) iodide and zone-refined a- and c-axis single-crystal specimens",iodide zirconium,annealed,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk5,text,"Irradiation growth studies [26,28,29,30,32] were also performed at 353 and 553 K on annealed and deformed (18% swaged) iodide and zone-refined a- and c-axis single-crystal specimens",iodide zirconium,annealed,irradiation,irradiation growth,,,,,,,,,,,,,,,,,,553,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk5,text,Growth acceleration was observed in originally swaged and annealed a-axis specimens at high fluences,zirconium single crystal,"18% swaged, annealed",irradiation,irradiation growth,,,,,,,,,,,,,,,,,,,,,,,high,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk6,p. 427,High Fluence Irradiation Growth of Zirconium Alloys at 644 to 725K,Zirconium Alloys,,,Irradiation Growth,,,,,,,,,,,,,,,,,,644.0,,,,,High,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk6,p. 427,High Fluence Irradiation Growth of Zirconium Alloys at 644 to 725K,Zirconium Alloys,,,Irradiation Growth,,,,,,,,,,,,,,,,,,725.0,,,,,High,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk6,pp. 260-266,Irradiation-Growth in Annealed Zr-.5 Wt % Nb at 353 K,Zr-0.5Nb,Annealed,Annealing,Irradiation Growth,"{'value': 99.5, 'unit': 'wt%'}",,"{'value': 0.5, 'unit': 'wt%'}",,,,,,,,,,,,,,,353.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk6,p. 213,Irradiation Growth in Cold-Worked Zircaloy-2,Zircaloy-2,Cold-Worked,Cold-Working,Irradiation Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk6,pp. 253-259,Effects of Texture and Temperature Cycling on Irradiation Growth in Cold-Worked Zircaloy-2 at 353 and 553 K,Zircaloy-2,Cold-Worked,Cold-Working,Irradiation Growth,,,,,,,,,,,,,,,,,,353.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk6,pp. 253-259,Effects of Texture and Temperature Cycling on Irradiation Growth in Cold-Worked Zircaloy-2 at 353 and 553 K,Zircaloy-2,Cold-Worked,Cold-Working,Irradiation Growth,,,,,,,,,,,,,,,,,,553.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk6,pp. 256-259,Breakaway Growth in Annealed Zircaloy-2 at 353 K and 553 K,Zircaloy-2,Annealed,Annealing,Irradiation Growth,,,,,,,,,,,,,,,,,,553.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk6,pp. 276-285,Irradiation Growth in Annealed and 25% Cold-Worked Zircaloy-2 between 353-673 K,Zircaloy-2,Annealed,Annealing,Irradiation Growth,,,,,,,,,,,,,,,,,,673.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk6,pp. 276-285,Irradiation Growth in Annealed and 25% Cold-Worked Zircaloy-2 between 353-673 K,Zircaloy-2,25% Cold-Worked,Cold-Working,Irradiation Growth,,,,,,,,,,,,,,,,,,353.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk6,pp. 276-285,Irradiation Growth in Annealed and 25% Cold-Worked Zircaloy-2 between 353-673 K,Zircaloy-2,25% Cold-Worked,Cold-Working,Irradiation Growth,,,,,,,,,,,,,,,,,,673.0,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk6,p. 394,Irradiation-Induced Dimensional Changes in Polycrystalline lodide Zirconium and Zircaloy-2,lodide Zirconium,Polycrystalline,,Irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk6,pp. 283-7,Irradiation Growth of Zirconium Single Crystals,Zirconium,Single Crystals,,Irradiation Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk8,text,the critical temperature for amorphization,,,,irradiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,nm/dpa,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk8,Fig. 4b,The amorphous layer was also depleted in iron but not in chromium (Fig. 4b),,amorphous layer,irradiation,composition analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk8,Fig. 4a,"Bright-field electron micrograph showing amorphization of $Z r ( \mathsf { C r } , \mathsf { F e } ) _ { 2 }$ precipitates in Zircaloy-4 under neutron irradiation",Zircaloy-4,precipitates,neutron irradiation,microscopy,"{'value': None, 'unit': 'at%'}",,,"{'value': None, 'unit': 'at%'}","{'value': None, 'unit': 'at%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metallic,,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk8,text,corrosion of zirconium alloys in $3 6 0 { - } 4 0 0 ^ { \circ } \mathrm { C }$ water or steam in an autoclave,zirconium alloys,,corrosion,corrosion,,,,,,,,,,,,,,,,,,360,water or steam,,,,,,,,,,,,,,,,,,,,,360–400,°C,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk8,text,Upon oxidation a volume increase of $56 \%$ occurs,zirconium alloys,oxide,oxidation,oxidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,%,,
STP1597-EB-Zirconium in the Nuclear Industry_18th Volume_007_chunk9,Fig. 7,Fig. 7 shows the values of $n$ measured in various alloys during corrosion testing in $3 6 0 ^ { \circ } \mathrm { C }$ water and $5 0 0 ^ { \circ } \mathrm { C }$ supercritical water [25].,various alloys,,corrosion testing,corrosion test,,,,,,,,,,,,,,,,,,360.0,water,,,,,,,,,,,,,,,,,,,,,0.5,,,
